Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
Kendriya Terminal,,,0.089474,12,0.206414,0.235997,127396.187728,16,14,30,0,2
Regal,,,0.143791,13,0.188794,0.216699,14296.498821,11,11,22,0,2
Shivaji Stadium,,,0.128655,13,0.196451,0.226487,41470.142721,8,15,23,0,2
Chitra Gupta Road,,,0.133333,14,0.171302,0.192183,2460.025761,3,4,7,0,2
Master Prithvi Nath Marg / Faiz Road,,,0,14,0.167507,0.184358,571.256768,1,1,2,0,2
Ice Factory,,,0.04329,13,0.195686,0.224411,80091.505401,12,14,26,0,0
Malka Ganj,,,0.095238,14,0.170392,0.190733,6017.076454,2,5,7,0,0
Maurice Nagar,,,0.090909,13,0.174911,0.197526,24937.607881,8,7,15,0,5
G.T.B. Nagar,,,0.036765,13,0.18039,0.20701,67636.415339,12,13,25,0,5
Model Town II,,,0.155556,12,0.195481,0.221475,75158.168768,8,7,15,0,5
Adarsh Nagar,,,0.218182,13,0.176605,0.200719,17122.403355,8,8,16,0,0
R.M.L. Hospital,,,0.238095,13,0.177922,0.197971,3562.745394,4,7,11,0,2
G.T.K. Depot,,,0.080882,13,0.179814,0.204846,44806.342423,5,15,20,0,1
Sameypur,,,1,14,0.155818,0.169201,0,1,1,2,0,1
Badli Railway Station,,,0.333333,13,0.168265,0.186286,9176.760631,5,1,6,0,1
Nizamuddin Railway Station,,,0.333333,13,0.16246,0.178688,1362.188777,2,3,5,0,12
Police Station Nizamuddin,,,0.066667,13,0.176705,0.198615,21751.583108,9,7,16,0,0
Golf Club / Sunder Nagar,,,0.071429,14,0.17219,0.194511,6597.858095,5,6,11,0,0
Supreme Court,,,0.120879,13,0.190418,0.217071,36593.038637,11,10,21,0,0
Delhi Gate,,,0.05698,13,0.200842,0.235178,84099.542656,21,19,40,0,0
Red Fort,,,0.181818,12,0.189583,0.212821,9123.091542,10,6,16,0,0
ISBT / Kashmiri Gate,,,0.057143,12,0.213695,0.245774,196076.702782,15,15,30,0,0
Old Secretariat,,,0.131868,13,0.192188,0.219007,49835.346102,10,10,20,0,5
Jahangir Puri,,,0,14,0.150182,0.163657,1886.579041,1,1,2,0,1
Durga Chowk,,,0,15,0.131134,0.140121,243.427678,1,1,2,0,1
Shraddhanand Colony,,,0,15,0.130061,0.138983,213.848636,1,1,2,0,1
Swaroop Nagar JJ Colony GT Road,,,0,14,0.148195,0.161537,3684.420959,2,1,3,0,1
Old Delhi Railway Station,,,0.277778,12,0.189602,0.21233,8173.092989,4,9,13,0,0
Kauria Bridge,,,0.833333,13,0.162261,0.17683,16.453787,1,3,4,0,0
GPO,,,0.5,13,0.159876,0.173501,49.181509,4,3,7,0,0
Guru Gobind Singh Indraprastha University (Kashmere Gate),,,0,13,0.176136,0.192154,299.968866,2,2,4,0,0
ISBT Kashmere Gate (Nityanand Marg),,,0.222222,13,0.189738,0.211556,7043.797912,6,8,14,0,0
Ludlow Castle,,,0.333333,13,0.177227,0.194426,1967.76554,3,4,7,0,5
Exchange Store,,,1,14,0.152923,0.163979,0,2,2,4,0,5
Civil Line Metro Station,,,0.333333,14,0.16136,0.176359,383.109533,3,3,6,0,5
I P College,,,1,14,0.161262,0.17557,0,1,1,2,0,5
Vidhan Sabha Metro Station,,,0,14,0.161318,0.175794,2479.611413,2,2,4,0,5
Khyber Pass,,,0,15,0.139159,0.149199,716.132249,2,3,5,0,5
Mall Road,,,0,15,0.131672,0.1418,182.454312,4,3,7,0,5
Vishwa Vidyalaya Metro Station,,,0,14,0.145199,0.157693,4014.928979,3,3,6,0,5
I.N.S. Hostel,,,0.3,13,0.169553,0.188762,7355.929964,4,4,8,0,5
New Police Lines,,,0,14,0.15286,0.166991,52.685498,1,1,2,0,5
Alpna Cinema,,,0,13,0.163588,0.177874,428.572482,2,2,4,0,5
Model Town III,,,0.666667,13,0.164282,0.179128,633.324427,2,3,5,0,3
Azadpur Metro station,,,1,14,0.145472,0.156828,0,1,1,2,0,3
Azadpur Terminal,,,0.254545,13,0.170205,0.190363,6942.130656,6,10,16,0,3
New Sabzi Mandi,,,0.333333,14,0.150254,0.164616,1464.049172,3,2,5,0,1
Adarsh Nagar / Bharola Village,,,0,15,0.133419,0.143033,62.25879,1,1,2,0,1
Sarai Peepal Thala,,,0.333333,14,0.141898,0.152847,547.125875,1,2,3,0,1
Mahindra Park (Pitampura),,,1,14,0.141822,0.152318,0,1,1,2,0,1
Jahangirpuri GT Road,,,0.133333,13,0.165187,0.182944,11519.954814,3,3,6,0,1
Jahangir Puri Metro Station,,,1,14,0.156027,0.170328,0,1,1,2,0,1
Mukraba Chowk,,,0.5,14,0.155753,0.170334,172.485196,2,2,4,0,1
Sanjay Gandhi Transport Nagar,,,0,14,0.14816,0.161178,31.214833,1,1,2,0,1
Libas Pur G.T. Road,,,0.075758,13,0.173848,0.197166,50612.455249,5,7,12,0,1
Swaroop Nagar JJ Colony,,,0,15,0.129077,0.137243,0,1,0,1,0,1
Swaroop Nagar GT Road,,,0,14,0.148113,0.16064,0,1,0,1,0,1
Mori Gate,,,0.380952,13,0.177549,0.197347,894.657886,4,3,7,0,0
R.P. Bagh,,,0.083333,14,0.156698,0.175455,6622.195529,7,4,11,0,0
Bara Bagh,,,0.214286,14,0.162531,0.18262,5571.964104,3,5,8,0,0
Ashok Vihar X-ing,,,0.116667,13,0.180653,0.207444,57003.294082,13,9,22,0,3
Wazirpur Depot,,,0.075,13,0.178195,0.204649,62416.698815,9,15,24,0,3
Pitam Pura J.D. Block,,,0.121212,13,0.162474,0.185194,24922.379872,6,11,17,0,3
"Rohini Sector 7,8,9 X-ing",,,0.047619,13,0.156737,0.174294,7718.782682,3,4,7,0,3
Rohini Sector 24 Nallah / Rohini Sector 24 Gas Plant,,,0,13,0.152384,0.168239,8519.909306,2,3,5,0,3
Rohini Sector 23,,,0.333333,14,0.137829,0.148636,2027.158722,1,2,3,0,11
Rohini Sector 20 JJ Colony,,,1,15,0.127327,0.135652,0,1,1,2,0,11
Rohini Sector 22 (Lakhi Ram Park),,,0.166667,15,0.138506,0.14999,2591.793997,3,1,4,0,11
Madhuban Chowk,,,0.4,14,0.146954,0.163594,3995.733523,5,5,10,0,3
Rohini Sector 7/8 X-ing,,,0.098039,14,0.157254,0.180978,31715.463841,9,12,21,0,3
Inder Enclave,,,0,15,0.138547,0.150393,3275.464234,3,1,4,0,11
Fatehpuri,,,0.666667,13,0.179294,0.196556,79.784434,1,3,4,0,0
Badli G.T. Road,,,0,14,0.163115,0.179128,1248.040825,1,1,2,0,1
Nangli Poonam,,,0,13,0.18656,0.209553,89717.84209,5,4,9,0,1
Budh Pur,,,0,14,0.158311,0.17182,5055.134622,1,1,2,0,1
Ali Pur,,,0,15,0.152709,0.168545,16690.747571,2,5,7,0,1
Ali Pur Garhi,,,0,15,0.138889,0.149345,409.452206,1,1,2,0,1
Minda Farm,,,0,14,0.149638,0.162041,2051.513465,1,2,3,0,1
Shah Pur Garhi,,,0,14,0.166801,0.1863,31537.438803,4,4,8,0,1
Bhor Garh,,,0,15,0.143918,0.156818,23108.170722,2,2,4,0,1
Narela Terminal,,,0.111111,16,0.127067,0.139697,23014.835942,8,7,15,0,1
Tri Nagar Jai Mata Market,,,0.666667,14,0.161641,0.177455,295.360275,2,2,4,0,4
Keshav Puram B-3,,,0.107143,13,0.164282,0.184911,7536.245567,6,7,13,0,4
Narela Industrial Area E-Block,,,0,15,0.142967,0.154042,0,1,0,1,0,1
A7 Raja Harish Chandra Hospital Narela,,,0.333333,17,0.113873,0.122355,594.688298,3,2,5,0,1
Mandi House,,,0.103896,12,0.206897,0.239779,91902.793562,19,15,34,0,2
Nirankari Colony,,,0,14,0.166697,0.185781,24542.411977,2,5,7,0,5
Jharoda Village,,,0,15,0.14289,0.153675,0,1,0,1,0,5
Jharoda Dairy X-ing,,,0.047619,14,0.164733,0.182746,18888.474591,2,5,7,0,5
Burari Village,,,0,14,0.150461,0.165043,8501.199963,3,3,6,0,5
Ibrahim Pur,,,0,14,0.149686,0.163218,9741.519819,2,1,3,0,5
Hiranki,,,0.166667,13,0.157307,0.172223,10348.151776,2,3,5,0,5
Mukhmel Pur,,,0,14,0.137737,0.147853,507.006019,2,1,3,0,1
Kamla Nagar Clock Tower,,,0.266667,14,0.172158,0.192735,8093.98597,1,5,6,0,0
Haider Pur Water Works,,,0.133333,13,0.16195,0.182693,18185.515923,6,8,14,0,3
ESI Hospital Rohini,,,0.2,13,0.151849,0.168299,1983.896735,3,2,5,0,3
Rohini Sector 16,,,0.121212,13,0.166622,0.187059,23899.255896,9,6,15,0,3
Shahbad Daulat Pur,,,0.3,12,0.168983,0.185887,15951.287869,4,3,7,0,1
Prahladpur,,,0.047619,12,0.187273,0.212434,124421.89771,19,15,34,0,12
Barwala,,,0.333333,13,0.158744,0.172745,16454.880909,3,2,5,0,19
Pooth Khurd,,,0,14,0.139965,0.150461,15877.15868,3,3,6,0,19
Dhake Wala,,,0,15,0.130618,0.140671,8340.757135,2,3,5,0,19
Bawana,,,0.064103,15,0.135027,0.149782,30249.948326,7,11,18,0,19
Harewali Village,,,0.666667,16,0.119086,0.128501,304.44858,2,3,5,0,19
Auchandi Border,,,0.333333,17,0.114978,0.123035,625.544415,4,3,7,0,19
Mungesh Pur,,,0.333333,16,0.121442,0.129795,1341.345377,2,3,5,0,19
Qutubgarh Border,,,0.333333,16,0.124498,0.133271,643.041953,4,4,8,0,19
Clock Tower / Police Station Roshanara Road,,,0.066667,14,0.168555,0.188193,4853.861282,4,5,9,0,0
Shahbad Dairy,,,0.333333,13,0.165055,0.181335,6851.300685,3,3,6,0,12
S.T.A. Office,,,0.6,13,0.188012,0.209426,1207.476339,4,1,5,0,5
Rohini Sector 18,,,0,13,0.16343,0.178745,3707.987094,2,2,4,0,1
Bajitpur,,,0,16,0.128631,0.138907,4239.223326,1,1,2,0,19
Katewara Village,,,0.166667,15,0.135975,0.14727,7893.181693,4,1,5,0,19
Balak Ram Hospital,,,0.072727,13,0.188126,0.213152,40196.444282,9,6,15,0,5
Khalsa College,,,0.071429,14,0.168524,0.189885,10669.634705,6,6,12,0,5
Shakti Nagar Nangia Park,,,0.090909,14,0.157989,0.179143,7425.959152,8,7,15,0,5
Gulabi Bagh,,,0.166667,15,0.16011,0.180424,6228.881634,8,6,14,0,4
Shastri Nagar E-Block,,,0.166667,14,0.161979,0.18261,8259.26688,8,7,15,0,4
Zakhira,,,0.075758,14,0.169987,0.193503,22284.598528,10,8,18,0,4
Moti Nagar,,,0.088889,14,0.17312,0.195069,14854.351046,7,10,17,0,2
Police Station Kirti Nagar,,,0.1,14,0.164413,0.182986,4317.89466,3,2,5,0,10
Maya Puri Depot,,,0.036364,14,0.175803,0.20034,39180.104854,9,8,17,0,10
Beri Wala Bagh,,,0.071429,14,0.165775,0.185137,10828.051941,5,7,12,0,16
Hari Nagar Clock Tower,,,0.133333,15,0.146399,0.160501,2242.322401,3,4,7,0,16
Nehru Vihar,,,0,15,0.135391,0.145089,886.209965,2,1,3,0,16
Nehru Vihar Xing,,,0,14,0.14343,0.15349,2452.585597,2,3,5,0,5
Police Station Timarpur,,,0,14,0.159138,0.173102,1656.097955,1,1,2,0,5
Timar Pur,,,0.095238,14,0.170221,0.188835,13713.702607,4,4,8,0,5
Timarpur BD Estate,,,0,15,0.145585,0.156805,501.430819,1,1,2,0,5
Patel Chest,,,0,15,0.145654,0.158566,901.758847,2,2,4,0,5
Sri Ram College,,,0,14,0.148967,0.16171,199.121989,1,1,2,0,5
Kamla Nagar/ Roop Nagar,,,1,14,0.15068,0.164781,0,1,1,2,0,5
Chowki No 2 / Gulabi Bagh Crossing,,,0.333333,15,0.142343,0.156695,800.777043,2,3,5,0,4
Shastri Nagar A Block,,,0.666667,16,0.138054,0.150104,71.194386,3,3,6,0,4
Subhadra Colony,,,0.5,15,0.147818,0.16242,571.077561,3,3,6,0,4
Shastri Nagar Metro Station,,,0.333333,15,0.139451,0.151668,168.990158,3,3,6,0,4
Shastri Nagar Shiv Mandir,,,0.666667,15,0.139535,0.151946,8.80292,3,2,5,0,4
Inder Lok Metro Station,,,0.3,15,0.150534,0.16571,1444.068135,4,4,8,0,4
Inderlok,,,0.666667,15,0.149278,0.164072,226.924556,2,4,6,0,4
DCM Chemical,,,0.333333,15,0.145358,0.158924,877.580848,2,2,4,0,4
S.B.Mills,,,0.666667,15,0.139253,0.149967,44.010487,1,2,3,0,4
Campa Cola,,,0.666667,15,0.139253,0.149967,44.010487,2,2,4,0,4
ESI Dispensary,,,0.3,14,0.159369,0.175185,2972.124133,5,4,9,0,2
Kirti Nagar,,,0.1,15,0.147678,0.161004,882.604083,3,3,6,0,2
F Block Kirti Nagar,,,0,15,0.141294,0.152706,55.902724,1,1,2,0,10
Lakkad Mandi (Mansarovar Garden),,,1,15,0.153491,0.16816,0,1,1,2,0,10
Government Press Mayapuri,,,0.333333,15,0.149662,0.163965,5579.276244,2,2,4,0,16
Metal Forging,,,0.2,16,0.130307,0.140686,2096.396683,2,4,6,0,16
DDA Flats Hari Nagar,,,0,16,0.124715,0.132907,105.964083,1,1,2,0,16
Swarg Ashram,,,0,15,0.142322,0.153795,1697.845965,1,1,2,0,16
DDU Hospital,,,1,15,0.142387,0.153989,0,1,1,2,0,16
BBM II Depot,,,0,16,0.117261,0.123999,2450.175667,1,2,3,0,5
Sewa Kutir,,,0,15,0.132753,0.14232,4301.809,2,3,5,0,5
Haqiqat Nagar,,,0,14,0.152935,0.167242,3073.987834,2,2,4,0,5
Lucknow Road,,,0,15,0.12685,0.135022,354.671167,1,1,2,0,5
DDA Flat Lucknow Road,,,0,16,0.120513,0.127077,17.72856,1,1,2,0,5
INMAS,,,0,15,0.136865,0.145764,1520.42406,1,1,2,0,5
CGHC Dispensary,,,0,14,0.158433,0.172137,3371.190726,1,1,2,0,5
P.S. Timarpur,,,0,14,0.159138,0.173102,1656.097955,1,1,2,0,5
Rohini Sector 23/24 X-ing,,,0,14,0.156119,0.170993,2338.543513,1,1,2,0,7
Prahlad Vihar,,,0,13,0.17721,0.194823,19880.023911,2,2,4,0,7
Air Force Station Ghoga,,,0.3,16,0.120599,0.131028,8221.657363,2,5,7,0,19
Sanoth X-ing,,,0.2,17,0.113609,0.122623,5485.850559,3,4,7,0,19
Vishal Bagh,,,0.333333,17,0.116003,0.125438,6148.955162,3,3,6,0,19
Bharat Mata Public School,,,0.666667,17,0.107589,0.114949,337.099765,2,2,4,0,19
Bankner Village,,,0.333333,18,0.103975,0.110644,219.1526,2,2,4,0,19
Mandir Marg,,,0.127273,13,0.173994,0.197595,9054.368573,7,8,15,0,2
Guru Gobind Singh Marg,,,0.181818,14,0.176571,0.201909,21032.861442,6,8,14,0,4
Jagat Pur X-ing,,,0,14,0.162403,0.176161,4310.398349,1,1,2,0,5
Sangam Vihar,,,0,14,0.151948,0.163287,4419.462587,2,1,3,0,13
Shafiabad Border,,,0,17,0.112748,0.120174,0,1,0,1,0,1
Ghoga Village,,,0.666667,17,0.109618,0.117258,103.531411,3,0,3,0,19
Sanoth Village,,,0,18,0.102024,0.107725,0,1,0,1,0,19
Azadpur,,,0.266667,14,0.164267,0.184778,27108.860529,4,3,7,0,3
Saraswati Vihar C-Block,,,0.25,14,0.156671,0.176194,11985.880943,6,8,14,0,7
Mangol Pur School,,,0.035714,15,0.165775,0.185586,17656.713793,8,8,16,0,7
Mangol Pur Khurd,,,0.090909,14,0.167658,0.188209,26152.714399,8,6,14,0,7
Pooth Kalan,,,0.166667,13,0.191063,0.214255,84930.252494,7,7,14,0,7
Begumpur (Rohini),,,0.142857,13,0.170314,0.188721,32463.516573,5,7,12,0,19
Karala,,,0.142857,13,0.171793,0.191335,43144.675511,5,5,10,0,19
Kanjhawla,,,0.166667,14,0.157068,0.174078,28386.272034,8,7,15,0,19
Jonti Village,,,0.2,15,0.140547,0.152855,4943.14804,4,3,7,0,19
Punjab Khor,,,0.1,15,0.139503,0.151677,9493.033188,2,5,7,0,19
Jat Khor,,,0,16,0.122433,0.129818,0,1,0,1,0,19
Kanjhawla Depot,,,0.333333,15,0.130857,0.14033,9186.18577,3,2,5,0,19
Kanjhawla Village,,,0.190476,14,0.150242,0.164768,16074.383355,5,5,10,0,19
Kanjhawala Chowk (Sarvodya Kanya Vidhyalaya),,,0,15,0.131152,0.140767,73.681746,2,2,4,0,19
Shivam Plywood,,,0.2,15,0.136765,0.148817,9761.881335,5,3,8,0,19
Radha Swami Satsang / Rupali Enclave,,,0.333333,15,0.126548,0.135183,1403.926445,2,3,5,0,19
Shiv Vihar Bheem Chowk,,,0.142857,16,0.122328,0.131872,3355.217896,3,5,8,0,19
Desu Office (NDPL),,,0,15,0.118873,0.126427,925.903987,2,1,3,0,19
Karala Crossing,,,0,16,0.111598,0.118665,556.995472,2,3,5,0,19
Karala Village,,,0,15,0.11956,0.127274,1724.833768,3,4,7,0,19
Karala School,,,0,16,0.115549,0.121865,222.01167,2,2,4,0,19
Rama Vihar,,,0,15,0.127354,0.135139,1472.809027,2,2,4,0,19
Sukhbir Nagar,,,0,14,0.145677,0.15719,4456.08547,3,2,5,0,19
Karala Patshala,,,0,15,0.131663,0.139963,91.97627,1,1,2,0,19
Rajeev Nagar,,,0,14,0.15149,0.164487,7321.976207,3,3,6,0,19
Rohini Sec-21,,,0.5,14,0.163732,0.178386,5102.923655,4,3,7,0,19
Rohini Sec 20/21 More,,,1,14,0.163588,0.177858,0,2,3,5,0,7
Brahm Shakti Hospital,,,0,14,0.160483,0.173279,82.901329,2,2,4,0,7
Krishna Vihar,,,0,13,0.177092,0.19394,3826.154136,3,2,5,0,7
Budh Vihar,,,0.166667,14,0.158257,0.172588,2364.850518,3,3,6,0,7
Mangol Puri Y-Block,,,0.333333,15,0.143707,0.155878,1149.793542,2,3,5,0,7
Avantika Xing,,,0,15,0.143618,0.155238,264.772648,1,1,2,0,7
Mangolpur Kalan Village,,,0,16,0.142234,0.153692,131.890546,1,1,2,0,7
Rohini Depot III,,,0,16,0.142245,0.153781,1247.850695,2,2,4,0,7
Puspanjali Enclave,,,0,16,0.12802,0.136848,1.5,2,2,4,0,7
Kali Mata Mandir,,,0.333333,15,0.135499,0.147171,610.649305,3,2,5,0,7
Deepali Chowk,,,1,15,0.13548,0.146812,0,2,2,4,0,7
Kohat Enclave Metro Station,,,0.333333,14,0.13986,0.153049,46.968198,2,1,3,0,3
Pitampura ND Block,,,0.166667,14,0.15138,0.16649,1187.833666,2,2,4,0,3
Prembari Pul,,,0,14,0.151281,0.165459,221.965194,1,1,2,0,4
Keshav Puram B-4,,,0,14,0.14123,0.153807,46.315715,2,2,4,0,4
Kanhaiya Nagar,,,0.333333,14,0.149903,0.165211,371.57878,3,3,6,0,4
Wazirpur JJ Colony,,,0.142857,14,0.152297,0.168675,4933.660245,3,6,9,0,4
Roshnara Bagh,,,0,15,0.144276,0.155681,8.953175,2,2,4,0,0
Roshnara Road,,,0,14,0.163704,0.178429,712.713092,2,2,4,0,0
St Stephen Hospital,,,0.666667,14,0.165289,0.18049,52.586415,2,3,5,0,0
Tees Hazari Court,,,0.3,14,0.177939,0.196348,1946.151496,4,3,7,0,0
Regal / Shivaji Stadium,,,0,13,0.177786,0.196688,4152.86219,3,2,5,0,2
Shaheed Bhagat Singh Marg,,,0,14,0.165451,0.181939,5896.044473,3,3,6,0,2
Gole Market,,,0,15,0.142061,0.152151,1994.172173,1,1,2,0,2
PS Mandir Marg,,,0,16,0.124765,0.131997,284.503144,1,1,2,0,2
Balmiki Mandir,,,0,16,0.12056,0.127672,147.830971,1,1,2,0,2
Panchkuian Road Banwai Lal Hospital,,,0,15,0.136454,0.146667,1767.482741,2,1,3,0,2
Meghdoot Bhawan,,,0,14,0.143397,0.155614,2157.529787,2,2,4,0,2
Arya Samaj Road / Pusa Road Petrol Pump,,,0.047619,13,0.164689,0.182823,8252.689007,6,4,10,0,2
Karol Bagh Metro Station,,,0.666667,14,0.144444,0.156988,98.617695,1,2,3,0,2
Rajendra Place / Karol Bagh Telephone Exchange,,,0.666667,15,0.136504,0.148138,1.833333,2,1,3,0,2
East Patel Nagar,,,0.066667,14,0.141812,0.154304,87.298845,5,3,8,0,2
South Patel Nagar (Metro Station),,,0,14,0.14905,0.162122,246.783178,2,2,4,0,2
West Patel Nagar,,,0.145455,13,0.175042,0.198067,19796.721626,9,8,17,0,2
Shadipur DTC Colony Metro Station,,,0.666667,14,0.149074,0.162391,526.828524,1,2,3,0,2
Shadi Pur Depot,,,0.333333,14,0.160858,0.178639,4047.801549,4,4,8,0,2
Moti Nagar Industrial Area,,,0.5,14,0.16083,0.176986,287.436417,4,5,9,0,2
Karampura Terminal,,,0.051282,13,0.18786,0.213801,72576.664918,8,8,16,0,2
B Block New Moti Nagar,,,1,14,0.167825,0.184545,0,1,1,2,0,7
Punjabi Bagh Terminal,,,0.041667,13,0.187179,0.214375,62370.023253,9,14,23,0,7
Britannia (Shakurpur),,,0,14,0.160844,0.176588,1280.900233,1,1,2,0,7
Telephone Exchange,,,0,13,0.161627,0.179912,22487.518622,5,5,10,0,7
WazirpurDepotRoadNo41(SubhashPalaceMarket),,,0.266667,14,0.151416,0.167117,4287.754846,2,4,6,0,3
Guru Govind Singh College,,,0.333333,15,0.13156,0.141506,609.998244,2,1,3,0,3
TV Tower (Power House),,,0,16,0.120459,0.128791,38.386256,1,1,2,0,3
DAV School,,,0,15,0.136815,0.148729,1285.388011,1,1,2,0,3
Pitam Pura K.D. Block,,,0.142857,14,0.158419,0.178764,11416.779719,3,5,8,0,3
Pittampura AP-Block,,,0,15,0.136825,0.148756,1822.540037,1,1,2,0,3
Pitampura CD-Block,,,0,16,0.120451,0.128738,81.168336,1,1,2,0,3
Pitam Pura Power House,,,0,15,0.119622,0.128217,138.072107,2,1,3,0,3
Madhuban Chowk (Outer Ring Road),,,0,15,0.12824,0.139113,1966.57387,2,2,4,0,3
Sai Baba Chowk,,,0,15,0.135925,0.148903,1695.778525,1,1,2,0,3
Rohini Sec 7/9,,,0,16,0.119899,0.12879,1,1,1,2,0,3
Rohini West Metro Station,,,0,15,0.126025,0.136166,162.221475,1,1,2,0,3
Rohini Depot I,,,0,14,0.144153,0.161051,20662.371898,3,7,10,0,3
Chhoturam Park Rohini Sec 5,,,0,15,0.12605,0.136282,2808.208874,1,1,2,0,3
Rithala Crossing (Rohini Sec 6 Crossing),,,0,16,0.112001,0.119272,965.758323,1,1,2,0,3
B-5 Rohini Som Bazar,,,0,17,0.101191,0.107439,346.122217,2,2,4,0,3
Rithala School,,,0,16,0.112509,0.120271,1058.525113,2,2,4,0,3
Rithala Village,,,0,15,0.126694,0.13805,6844.033551,3,2,5,0,3
Rithala Crossing,,,0,18,0.101762,0.107253,181.988781,1,1,2,0,7
Visram Chowk,,,0,17,0.113008,0.119719,1704.416013,1,1,2,0,7
Rohini Sec-3/4 Xing,,,0,16,0.127327,0.136619,3550.266013,1,1,2,0,7
Avantika,,,0.166667,15,0.145825,0.160382,10933.428974,2,2,4,0,7
Avantika Crossing,,,1,15,0.143829,0.155905,0,1,1,2,0,7
Karala Pathsala Jain Mandir,,,0,15,0.131681,0.140321,135.712274,2,1,3,0,19
DesuOffice(NDPL),,,0,17,0.109335,0.115797,76.81253,1,1,2,0,19
RadhaSwamiSatsang/RupaliEnclave,,,1,16,0.120388,0.128276,0,1,1,2,0,19
Ladpur,,,0.3,15,0.140685,0.15316,5957.144601,3,3,6,0,19
IGI Airport Terminal - III,,,0,14,0.128126,0.137257,5642.123613,2,2,4,0,19
Vaishali Enclave / Kapil Vihar,,,1,14,0.139797,0.152484,0,1,1,2,0,3
Prem Bari Pull,,,0.1,14,0.156145,0.173665,2615.583953,3,2,5,0,3
Shalimar Bagh,,,0,14,0.153061,0.167534,122.163541,1,1,2,0,3
New Police Line,,,0,14,0.15286,0.166991,52.685498,1,1,2,0,5
Jama Masjid,,,0.5,13,0.174484,0.192856,1107.951119,2,3,5,0,0
Darya Ganj,,,0.666667,14,0.167326,0.184942,427.434923,3,4,7,0,0
LNJP Hospital,,,0,14,0.167326,0.184583,208.537187,1,1,2,0,0
Zakir Husain College,,,0.2,15,0.15952,0.175799,918.675409,2,4,6,0,0
JLN Marg,,,0.5,15,0.159533,0.175665,170.831976,4,2,6,0,0
Kamla Market,,,0.266667,14,0.174861,0.196966,1999.162167,3,5,8,0,0
Bharat Nagar X-ing (Okhla),,,0.111111,14,0.169014,0.189665,23522.360698,7,4,11,0,4
Ashok Vihar Ph-I,,,0.333333,14,0.147198,0.161624,246.013066,2,2,4,0,4
Ashok Vihar Ph-II,,,0.333333,14,0.156014,0.17153,955.188948,2,1,3,0,4
Mori Gate Terminal,,,0.2,13,0.198125,0.224038,45759.212228,0,10,10,0,0
I.T.O. (Ring Road),,,0.064103,13,0.181907,0.207493,22590.762324,8,9,17,0,8
Rainy Well,,,0.106061,13,0.181534,0.206657,39712.05957,11,8,19,0,8
Mother Dairy,,,0.072727,13,0.175372,0.198646,46883.26975,7,10,17,0,8
Trilok Puri 13-Block,,,0.088889,13,0.167704,0.187397,14955.965968,6,8,14,0,8
Kalyan Puri,,,0.090909,12,0.187746,0.212606,85492.444522,7,9,16,0,8
Summer Villa School,,,1,13,0.15815,0.171686,0,1,1,2,0,8
New Kondli,,,0.333333,13,0.158568,0.173291,1731.742084,4,2,6,0,8
Mayur Vihar Ph-III,,,0.095238,13,0.158798,0.174915,23392.91413,5,3,8,0,8
Bajitpur Village,,,0,16,0.118971,0.127297,0,1,0,1,0,19
Badarpur Border,,,0.166667,13,0.169754,0.187573,23136.337743,7,5,12,0,12
Badarpur,,,0.25,14,0.163315,0.18034,11440.581416,5,4,9,0,12
Ali Village,,,0.2,14,0.151626,0.164344,2522.964473,3,2,5,0,12
Sarita Vihar X-ing,,,0.2,14,0.157828,0.172488,4699.035162,2,3,5,0,12
Kalindi Kunj,,,0,14,0.157467,0.170893,8076.988566,3,3,6,0,12
Yamuna Bridge East,,,0.1,13,0.174714,0.192801,15614.098134,5,5,10,0,8
Mahamaya Flyover West,,,0.2,13,0.163963,0.179249,15733.577085,4,3,7,0,11
Amity School,,,0,13,0.145063,0.156383,11108.469467,2,2,4,0,9
Noida Sector 37,,,0,14,0.141596,0.155463,21467.003391,4,5,9,0,9
Police Station Sadarpur,,,0,15,0.124307,0.133049,2009.640334,1,1,2,0,9
Aghapur Village,,,0,16,0.117328,0.125263,2916.982718,2,1,3,0,9
Barola Village Chowk,,,0,16,0.109735,0.11595,2449.908104,1,2,3,0,9
Hindon Vihar,,,0,16,0.112332,0.118239,1553.432767,1,1,2,0,9
Sarin Farm,,,0,15,0.123662,0.131051,2998.515692,1,1,2,0,9
Sadarpur Village,,,0,14,0.140229,0.150944,11801.779025,2,1,3,0,9
Noida Sector 82 / 106 Chowk,,,0,15,0.124257,0.131945,5676.781096,2,1,3,0,9
Housary Complex Petrol Pump,,,0,16,0.110543,0.115924,1859,1,1,2,0,9
Noida Phase 2,,,0,17,0.099545,0.103302,0,1,0,1,0,9
Patel Chowk,,,0.047619,13,0.185703,0.207653,39590.992153,5,5,10,0,2
Shanti Van,,,0.055556,13,0.180477,0.203494,23026.120241,6,6,12,0,0
Yamuna Bazar,,,0.133333,13,0.190126,0.212041,17449.884077,5,3,8,0,0
Bakoli,,,0,16,0.133095,0.143738,4928.799736,1,2,3,0,1
Khampur,,,0,16,0.120482,0.13024,6167.302644,2,3,5,0,1
Singhola Village,,,0,17,0.109735,0.117032,351.091132,1,1,2,0,1
Ram Dev Chowk,,,0.666667,17,0.112782,0.120936,1.083333,2,1,3,0,1
Singhola,,,0,17,0.109754,0.11748,2260.123013,1,2,3,0,1
